phrase,class,type,operator,plural
apparel,shop,clothes,-,N
art,tourism,gallery,-,N
atm,amenity,atm,-,N
attraction,tourism,attraction,-,N
attraction,tourism,theme_park,-,N
bar,amenity,bar,-,N
bar,amenity,pub,-,N
bar,amenity,biergarten,-,N
beauty-salon,shop,beauty,-,N
beauty-salon,shop,hairdresser,-,N
beauty-supply,shop,cosmetics,-,N
beauty-supply,shop,perfumery,-,N
cafe,amenity,cafe,-,N
car-dealer,shop,car,-,N
car-repair,shop,car_repair,-,N
car-repair,shop,tyres,-,N
car-wash,amenity,car_wash,-,N
charging-station,amenity,charging_station,-,N
cinema,amenity,cinema,-,N
convenience,shop,convenience,-,N
dessert,shop,confectionery,-,N
dessert,shop,pastry,-,N
dessert,shop,ice_cream,-,N
dessert,amenity,ice_cream,-,N
dry-cleaning,shop,dry_cleaning,-,N
electronics,shop,electronics,-,N
electronics,shop,computer,-,N
electronics,shop,mobile_phone,-,N
fuel,amenity,fuel,-,N
grocery,shop,supermarket,-,N
gym,leisure,fitness_centre,-,N
gym,leisure,sports_centre,-,N
healthcare,amenity,hospital,-,N
healthcare,amenity,clinic,-,N
healthcare,healthcare,hospital,-,N
healthcare,healthcare,clinic,-,N
home-garden,shop,doityourself,-,N
home-garden,shop,hardware,-,N
home-garden,shop,garden_centre,-,N
hotel,tourism,hotel,-,N
hotel,tourism,motel,-,N
library,amenity,library,-,N
live-music,amenity,music_venue,-,N
museum,tourism,museum,-,N
nightlife,amenity,nightclub,-,N
park,leisure,park,-,N
park,leisure,garden,-,N
park,leisure,nature_reserve,-,N
park,leisure,playground,-,N
park,leisure,recreation_ground,-,N
parking,amenity,parking,-,N
pharmacy,amenity,pharmacy,-,N
post-office,amenity,post_office,-,N
restaurant,amenity,restaurant,-,N
restaurant,amenity,fast_food,-,N
restaurant,amenity,food_court,-,N
shopping-centre,shop,mall,-,N
shopping-centre,landuse,retail,-,N
sporting-goods,shop,sports,-,N
takeout,amenity,fast_food,-,N
